Index,PctInt*100,NGI Set Intensity,x,y,Lumens
342,1080,0.108,0.1267,0.0617,0.55424
343,1090,0.109,0.1268,0.0618,0.55831
344,1100,0.11,0.1268,0.0615,0.56364
345,1110,0.111,0.1268,0.0617,0.56642
346,1120,0.112,0.1268,0.0617,0.56966
347,1130,0.113,0.1268,0.0614,0.57557
348,1140,0.114,0.1268,0.0614,0.58005
349,1150,0.115,0.1268,0.0615,0.58331
350,1160,0.116,0.1268,0.0614,0.5868
351,1170,0.117,0.1269,0.0614,0.5911
352,1180,0.118,0.1269,0.0613,0.59581
353,1190,0.119,0.1269,0.0614,0.5978
354,1200,0.12,0.1269,0.0614,0.60241
355,1210,0.121,0.127,0.0612,0.60759
356,1220,0.122,0.127,0.0613,0.6111
357,1230,0.123,0.127,0.061,0.61474
358,1240,0.124,0.127,0.0612,0.61787
359,1250,0.125,0.1271,0.061,0.62344
360,1260,0.126,0.1271,0.061,0.62759
361,1270,0.127,0.1271,0.061,0.62823
362,1280,0.128,0.1271,0.061,0.63065
363,1290,0.129,0.1271,0.0609,0.63606
364,1300,0.13,0.1271,0.0607,0.64111
365,1310,0.131,0.1271,0.0607,0.64379
366,1320,0.132,0.1271,0.0608,0.64803
367,1330,0.133,0.1272,0.0606,0.6518
368,1340,0.134,0.1272,0.0607,0.65572
369,1350,0.135,0.1272,0.0607,0.65917
370,1360,0.136,0.1272,0.0606,0.66315
371,1370,0.137,0.1272,0.0606,0.66706
372,1380,0.138,0.1273,0.0605,0.67183
373,1390,0.139,0.1273,0.0604,0.67549
374,1400,0.14,0.1273,0.0606,0.67878
375,1410,0.141,0.1273,0.0605,0.68275
376,1420,0.142,0.1273,0.0603,0.6873
377,1430,0.143,0.1273,0.0603,0.69106
378,1440,0.144,0.1274,0.0604,0.6936
379,1450,0.145,0.1274,0.0604,0.69739
380,1460,0.146,0.1274,0.0602,0.70155
381,1470,0.147,0.1274,0.0603,0.70555
382,1480,0.148,0.1274,0.0602,0.70969
383,1490,0.149,0.1275,0.0601,0.71336
384,1500,0.15,0.1275,0.0603,0.71581
385,1510,0.151,0.1275,0.0601,0.71973
386,1520,0.152,0.1275,0.0602,0.72332
387,1530,0.153,0.1275,0.0601,0.72721
388,1540,0.154,0.1275,0.0601,0.73085
389,1550,0.155,0.1275,0.0601,0.73547
390,1560,0.156,0.1275,0.06,0.74047
391,1570,0.157,0.1276,0.0599,0.74442
392,1580,0.158,0.1275,0.06,0.74472
393,1590,0.159,0.1276,0.06,0.74814
394,1600,0.16,0.1276,0.06,0.75171
395,1610,0.161,0.1276,0.0601,0.75536
396,1620,0.162,0.1276,0.0599,0.76012
397,1630,0.163,0.1276,0.0599,0.76392
398,1640,0.164,0.1277,0.06,0.76585
399,1650,0.165,0.1277,0.06,0.76969
400,1660,0.166,0.1276,0.0599,0.77343
401,1670,0.167,0.1277,0.0598,0.77679
402,1680,0.168,0.1277,0.0599,0.77947
403,1690,0.169,0.1277,0.0597,0.78407
404,1700,0.17,0.1277,0.0597,0.78744
405,1710,0.171,0.1278,0.0598,0.78958
406,1720,0.172,0.1278,0.0598,0.79365
407,1730,0.173,0.1278,0.0598,0.79616
408,1740,0.174,0.1278,0.0596,0.80077
409,1750,0.175,0.1279,0.0597,0.80341
410,1760,0.176,0.1278,0.0596,0.80711
411,1770,0.177,0.1278,0.0596,0.81022
412,1780,0.178,0.1279,0.0594,0.8146
413,1790,0.179,0.1279,0.0597,0.81532
414,1800,0.18,0.1279,0.0594,0.82082
415,1810,0.181,0.1279,0.0596,0.8236
416,1820,0.182,0.1279,0.0596,0.82602
